Species	Strains	Abbreviation	Accession	Genome_size	GC content (%)	Complete 	Download	Reference	Reference_link	Note.
Epichloe cabralii	e7901	ClEce7901	OQ121971.1	85911	26.88	Y	https://www.ncbi.nlm.nih.gov/nuccore/OQ121971.1	Chan J, Truglio M, Schardl CL, et al. An Alternative Self-Splicing Intron Lifecycle Revealed by Dynamic Intron Turnover in Epichloë Endophyte Mitochondrial Genomes. Mol Biol Evol. 2025,42(4):msaf076.	https://doi.org/10.1093/molbev/msaf076	 --
Epichloe canadensis	voucher CWR34, NFe726	ClEcCWR34_NFe726	NC_072714.1	117243	27.51	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_072714.1	Chan J, Truglio M, Schardl CL, et al. An Alternative Self-Splicing Intron Lifecycle Revealed by Dynamic Intron Turnover in Epichloë Endophyte Mitochondrial Genomes. Mol Biol Evol. 2025,42(4):msaf076.	https://doi.org/10.1093/molbev/msaf076	 --
Epichloe coenophiala	AR584	ClEcAR584	NC_072716.1	96156	27.4	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_072716.1	Chan J, Truglio M, Schardl CL, et al. An Alternative Self-Splicing Intron Lifecycle Revealed by Dynamic Intron Turnover in Epichloë Endophyte Mitochondrial Genomes. Mol Biol Evol. 2025,42(4):msaf076.	https://doi.org/10.1093/molbev/msaf076	 --
Epichloe elymi	Nfe728	ClEeNfe728	CP098280.1	85999	28.55	Y	https://www.ncbi.nlm.nih.gov/nuccore/CP098280.1	Quenu M, Treindl AD, Lee K, et al. Telomere-to-Telomere Genome Sequences across a Single Genus Reveal Highly Variable Chromosome Rearrangement Rates but Absolute Stasis of Chromosome Number. J Fungi (Basel). 2022,8(7):670.	https://doi.org/10.3390/jof8070670	 --
Epichloe elymi	voucher ATCC 201551, E56	ClEeATCC201551_E56	NC_072717.1	111036	27.67	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_072717.1	Chan J, Truglio M, Schardl CL, et al. An Alternative Self-Splicing Intron Lifecycle Revealed by Dynamic Intron Turnover in Epichloë Endophyte Mitochondrial Genomes. Mol Biol Evol. 2025,42(4):msaf076.	https://doi.org/10.1093/molbev/msaf076	 --
Epichloe festucae	E2368	ClEfE2368	OQ121976.1	72698	26.48	Y	https://www.ncbi.nlm.nih.gov/nuccore/OQ121976.1	Chan J, Truglio M, Schardl CL, et al. An Alternative Self-Splicing Intron Lifecycle Revealed by Dynamic Intron Turnover in Epichloë Endophyte Mitochondrial Genomes. Mol Biol Evol. 2025,42(4):msaf076.	https://doi.org/10.1093/molbev/msaf076	 --
Epichloe festucae	E1017	ClEfE1017	OQ121975.1	60420	26.8	Y	https://www.ncbi.nlm.nih.gov/nuccore/OQ121975.1	Chan J, Truglio M, Schardl CL, et al. An Alternative Self-Splicing Intron Lifecycle Revealed by Dynamic Intron Turnover in Epichloë Endophyte Mitochondrial Genomes. Mol Biol Evol. 2025,42(4):msaf076.	https://doi.org/10.1093/molbev/msaf076	 --
Epichloe festucae	E437	ClEfE437	CP100349.1	77430	27.04	Y	https://www.ncbi.nlm.nih.gov/nuccore/CP100349.1	Quenu M, Treindl AD, Lee K, et al. Telomere-to-Telomere Genome Sequences across a Single Genus Reveal Highly Variable Chromosome Rearrangement Rates but Absolute Stasis of Chromosome Number. J Fungi (Basel). 2022,8(7):670.	https://doi.org/10.3390/jof8070670	 --
Epichloe festucae	Fl1	ClEfFl1	CP031392.1	52960	27.18	Y	https://www.ncbi.nlm.nih.gov/nuccore/CP031392.1	Winter DJ, Ganley ARD, Young CA, et al. Repeat elements organise 3D genome structure and mediate transcription in the filamentous fungus Epichloë festucae. PLoS Genet. 2018,14(10):e1007467.	https://doi.org/10.1371/journal.pgen.1007467	 --
Epichloe festucae var. lolii	AR5	ClEfAR5	OQ121974.1	88744	27.52	Y	https://www.ncbi.nlm.nih.gov/nuccore/OQ121974.1	Chan J, Truglio M, Schardl CL, et al. An Alternative Self-Splicing Intron Lifecycle Revealed by Dynamic Intron Turnover in Epichloë Endophyte Mitochondrial Genomes. Mol Biol Evol. 2025,42(4):msaf076.	https://doi.org/10.1093/molbev/msaf076	 --
Epichloe gansuensis	e7080	ClEge7080	CP098288.1	79651	28.33	Y	https://www.ncbi.nlm.nih.gov/nuccore/CP098288.1	Quenu M, Treindl AD, Lee K, et al. Telomere-to-Telomere Genome Sequences across a Single Genus Reveal Highly Variable Chromosome Rearrangement Rates but Absolute Stasis of Chromosome Number. J Fungi (Basel). 2022,8(7):670.	https://doi.org/10.3390/jof8070670	 --
Epichloe glyceriae	E2772	ClEgE2772	CP098296.1	116589	28.3	Y	https://www.ncbi.nlm.nih.gov/nuccore/CP098296.1	Quenu M, Treindl AD, Lee K, et al. Telomere-to-Telomere Genome Sequences across a Single Genus Reveal Highly Variable Chromosome Rearrangement Rates but Absolute Stasis of Chromosome Number. J Fungi (Basel). 2022,8(7):670.	https://doi.org/10.3390/jof8070670	 --
Epichloe hybrida	Lp1	ClEhLp1	KX066187.1	88750	27.52	Y	https://www.ncbi.nlm.nih.gov/nuccore/KX066187.1	Campbell MA, Tapper BA, Simpson WR, et al. Epichloë hybrida, sp. nov., an emerging model system for investigating fungal allopolyploidy. Mycologia. 2017,109(5):715-729.	https://doi.org/10.1080/00275514.2017.1406174	 --
Epichloe novae-zelandiae	AL0725/2	ClEnAL0725_2	NC_072722.1	73123	26.9	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_072722.1	Chan J, Truglio M, Schardl CL, et al. An Alternative Self-Splicing Intron Lifecycle Revealed by Dynamic Intron Turnover in Epichloë Endophyte Mitochondrial Genomes. Mol Biol Evol. 2025,42(4):msaf076.	https://doi.org/10.1093/molbev/msaf076	 --
Epichloe scottii	TT-2021a	ClEsTT-2021a	CP083252.1	94060	27.66	Y	https://www.ncbi.nlm.nih.gov/nuccore/CP083252.1	Thünen T, Becker Y, Cox MP, Ashrafi S. Epichloë scottii sp. nov., a new endophyte isolated from Melica uniflora is the missing ancestor of Epichloë disjuncta. IMA Fungus. 2022,13(1):2.	https://doi.org/10.1186/s43008-022-00088-0	 --
Epichloe siegelii	e915	ClEse915	NC_072718.1	90816	27.29	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_072718.1	Chan J, Truglio M, Schardl CL, et al. An Alternative Self-Splicing Intron Lifecycle Revealed by Dynamic Intron Turnover in Epichloë Endophyte Mitochondrial Genomes. Mol Biol Evol. 2025,42(4):msaf076.	https://doi.org/10.1093/molbev/msaf076	 --
Epichloe stromatolonga	E7543	ClEsE7543	NC_072719.1	78166	27.98	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_072719.1	Chan J, Truglio M, Schardl CL, et al. An Alternative Self-Splicing Intron Lifecycle Revealed by Dynamic Intron Turnover in Epichloë Endophyte Mitochondrial Genomes. Mol Biol Evol. 2025,42(4):msaf076.	https://doi.org/10.1093/molbev/msaf076	 --
Epichloe sylvatica	E832	ClEsE832	NC_072720.1	100507	27.72	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_072720.1	Chan J, Truglio M, Schardl CL, et al. An Alternative Self-Splicing Intron Lifecycle Revealed by Dynamic Intron Turnover in Epichloë Endophyte Mitochondrial Genomes. Mol Biol Evol. 2025,42(4):msaf076.	https://doi.org/10.1093/molbev/msaf076	 --
Epichloe typhina	E5880	ClEtE5880	OQ121995.1	95149	27.3	Y	https://www.ncbi.nlm.nih.gov/nuccore/OQ121995.1	Chan J, Truglio M, Schardl CL, et al. An Alternative Self-Splicing Intron Lifecycle Revealed by Dynamic Intron Turnover in Epichloë Endophyte Mitochondrial Genomes. Mol Biol Evol. 2025,42(4):msaf076.	https://doi.org/10.1093/molbev/msaf076	 --
Epichloe typhina	E5859	ClEtE5859	OQ121994.1	95147	27.3	Y	https://www.ncbi.nlm.nih.gov/nuccore/OQ121994.1	Chan J, Truglio M, Schardl CL, et al. An Alternative Self-Splicing Intron Lifecycle Revealed by Dynamic Intron Turnover in Epichloë Endophyte Mitochondrial Genomes. Mol Biol Evol. 2025,42(4):msaf076.	https://doi.org/10.1093/molbev/msaf076	 --
Epichloe typhina	E5301	ClEtE5301	OQ121993.1	64520	26.89	Y	https://www.ncbi.nlm.nih.gov/nuccore/OQ121993.1	Chan J, Truglio M, Schardl CL, et al. An Alternative Self-Splicing Intron Lifecycle Revealed by Dynamic Intron Turnover in Epichloë Endophyte Mitochondrial Genomes. Mol Biol Evol. 2025,42(4):msaf076.	https://doi.org/10.1093/molbev/msaf076	 --
Epichloe typhina	92038	ClEt92038	OQ121988.1	71517	26.42	Y	https://www.ncbi.nlm.nih.gov/nuccore/OQ121988.1	Chan J, Truglio M, Schardl CL, et al. An Alternative Self-Splicing Intron Lifecycle Revealed by Dynamic Intron Turnover in Epichloë Endophyte Mitochondrial Genomes. Mol Biol Evol. 2025,42(4):msaf076.	https://doi.org/10.1093/molbev/msaf076	 --
Epichloe typhina	E5915	ClEtE5915	OQ121987.1	72389	26.59	Y	https://www.ncbi.nlm.nih.gov/nuccore/OQ121987.1	Chan J, Truglio M, Schardl CL, et al. An Alternative Self-Splicing Intron Lifecycle Revealed by Dynamic Intron Turnover in Epichloë Endophyte Mitochondrial Genomes. Mol Biol Evol. 2025,42(4):msaf076.	https://doi.org/10.1093/molbev/msaf076	 --
Epichloe typhina	E5769	ClEtE5769	OQ121986.1	81846	27.22	Y	https://www.ncbi.nlm.nih.gov/nuccore/OQ121986.1	Chan J, Truglio M, Schardl CL, et al. An Alternative Self-Splicing Intron Lifecycle Revealed by Dynamic Intron Turnover in Epichloë Endophyte Mitochondrial Genomes. Mol Biol Evol. 2025,42(4):msaf076.	https://doi.org/10.1093/molbev/msaf076	 --
Epichloe typhina	E5710	ClEtE5710	OQ121985.1	80662	27.2	Y	https://www.ncbi.nlm.nih.gov/nuccore/OQ121985.1	Chan J, Truglio M, Schardl CL, et al. An Alternative Self-Splicing Intron Lifecycle Revealed by Dynamic Intron Turnover in Epichloë Endophyte Mitochondrial Genomes. Mol Biol Evol. 2025,42(4):msaf076.	https://doi.org/10.1093/molbev/msaf076	 --
Epichloe typhina	E5073	ClEtE5073	OQ121984.1	73958	26.97	Y	https://www.ncbi.nlm.nih.gov/nuccore/OQ121984.1	Chan J, Truglio M, Schardl CL, et al. An Alternative Self-Splicing Intron Lifecycle Revealed by Dynamic Intron Turnover in Epichloë Endophyte Mitochondrial Genomes. Mol Biol Evol. 2025,42(4):msaf076.	https://doi.org/10.1093/molbev/msaf076	 --
Epichloe typhina	E5001	ClEtE5001	OQ121983.1	85390	26.75	Y	https://www.ncbi.nlm.nih.gov/nuccore/OQ121983.1	Chan J, Truglio M, Schardl CL, et al. An Alternative Self-Splicing Intron Lifecycle Revealed by Dynamic Intron Turnover in Epichloë Endophyte Mitochondrial Genomes. Mol Biol Evol. 2025,42(4):msaf076.	https://doi.org/10.1093/molbev/msaf076	 --
Epichloe typhina	E500	ClEtE500	OQ121982.1	75054	27.09	Y	https://www.ncbi.nlm.nih.gov/nuccore/OQ121982.1	Chan J, Truglio M, Schardl CL, et al. An Alternative Self-Splicing Intron Lifecycle Revealed by Dynamic Intron Turnover in Epichloë Endophyte Mitochondrial Genomes. Mol Biol Evol. 2025,42(4):msaf076.	https://doi.org/10.1093/molbev/msaf076	 --
Epichloe typhina	Pt1807_3	ClEtPt1807_3	CP098312.1	87746	26.75	Y	https://www.ncbi.nlm.nih.gov/nuccore/CP098312.1	Quenu M, Treindl AD, Lee K, et al. Telomere-to-Telomere Genome Sequences across a Single Genus Reveal Highly Variable Chromosome Rearrangement Rates but Absolute Stasis of Chromosome Number. J Fungi (Basel). 2022,8(7):670.	https://doi.org/10.3390/jof8070670	 --
Epichloe typhina	voucher ATCC 200736, E8	ClEtATCC200736_E8	OQ121981.1	84630	26.96	Y	https://www.ncbi.nlm.nih.gov/nuccore/OQ121981.1	Chan J, Truglio M, Schardl CL, et al. An Alternative Self-Splicing Intron Lifecycle Revealed by Dynamic Intron Turnover in Epichloë Endophyte Mitochondrial Genomes. Mol Biol Evol. 2025,42(4):msaf076.	https://doi.org/10.1093/molbev/msaf076	 --
Epichloe typhina subsp. clarkii	ATCC 90168	ClEtATCC90168	OQ121991.1	72890	27.76	Y	https://www.ncbi.nlm.nih.gov/nuccore/OQ121991.1	Chan J, Truglio M, Schardl CL, et al. An Alternative Self-Splicing Intron Lifecycle Revealed by Dynamic Intron Turnover in Epichloë Endophyte Mitochondrial Genomes. Mol Biol Evol. 2025,42(4):msaf076.	https://doi.org/10.1093/molbev/msaf076	 --
Epichloe typhina subsp. clarkii	1605_22	ClEt1605_22	CP064811.1	73184	27.42	Y	https://www.ncbi.nlm.nih.gov/nuccore/CP064811.1	Treindl AD, Stapley J, Winter DJ, et al. Chromosome-level genomes provide insights into genome evolution, organization and size in Epichloe fungi. Genomics. 2021,113(6):4267-4275.	https://doi.org/10.1016/j.ygeno.2021.11.009	 --
Epichloe typhina subsp. poae	Nfe76	ClEtNfe76	CP098320.1	75945	26.82	Y	https://www.ncbi.nlm.nih.gov/nuccore/CP098320.1	Nfe76 Typhina strain	 --	 --
Epichloe typhina subsp. poae	E5115	ClEtE5115	OQ121992.1	64901	27.01	Y	https://www.ncbi.nlm.nih.gov/nuccore/OQ121992.1	Chan J, Truglio M, Schardl CL, et al. An Alternative Self-Splicing Intron Lifecycle Revealed by Dynamic Intron Turnover in Epichloë Endophyte Mitochondrial Genomes. Mol Biol Evol. 2025,42(4):msaf076.	https://doi.org/10.1093/molbev/msaf076	 --
Epichloe typhina subsp. poae	E5101	ClEtE5101	OQ121980.1	64910	27.01	Y	https://www.ncbi.nlm.nih.gov/nuccore/OQ121980.1	Chan J, Truglio M, Schardl CL, et al. An Alternative Self-Splicing Intron Lifecycle Revealed by Dynamic Intron Turnover in Epichloë Endophyte Mitochondrial Genomes. Mol Biol Evol. 2025,42(4):msaf076.	https://doi.org/10.1093/molbev/msaf076	 --
Epichloe typhina subsp. poae	Pn1703_3	ClEtPn1703_3	CP098304.1	74504	27.26	Y	https://www.ncbi.nlm.nih.gov/nuccore/CP098304.1	Telomere-to-Telomere Genome Sequences across a Single Genus Reveal Highly Variable Chromosome Rearrangement Rates but Absolute Stasis of Chromosome Number	https://doi.org/10.3390/jof8070670	 --
Epichloe typhina subsp. typhina	1756	ClEt1756	CP064803.1	98452	26.98	Y	https://www.ncbi.nlm.nih.gov/nuccore/CP064803.1	Treindl AD, Stapley J, Winter DJ, et al. Chromosome-level genomes provide insights into genome evolution, organization and size in Epichloe fungi. Genomics. 2021,113(6):4267-4275.	https://doi.org/10.1016/j.ygeno.2021.11.009	 --
Epichloe uncinata	e167	ClEue167	NC_072721.1	85326	27.53	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_072721.1	Chan J, Truglio M, Schardl CL, et al. An Alternative Self-Splicing Intron Lifecycle Revealed by Dynamic Intron Turnover in Epichloë Endophyte Mitochondrial Genomes. Mol Biol Evol. 2025,42(4):msaf076.	https://doi.org/10.1093/molbev/msaf076	 --
Pochonia chlamydosporia	170	ClPc170	NC_022835.1	25615	28.28	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_022835.1	Lin R, Liu C, Shen B, et al. Analysis of the complete mitochondrial genome of Pochonia chlamydosporia suggests a close relationship to the invertebrate-pathogenic fungi in Hypocreales. BMC Microbiol. 2015,15:5.	https://doi.org/10.1186/s12866-015-0341-8	 --
Metarhizium acridum 	ARSEF 324	ClMaARSEF324	NW_027094014.1	96363	25.77	Y	https://www.ncbi.nlm.nih.gov/nuccore/NW_027094014.1	Nielsen KN, Salgado JFM, Natsopoulou ME, et al, De Fine Licht HH. Diploidy within a Haploid Genus of Entomopathogenic Fungi. Genome Biol Evol. 2021,13(7):evab158.	https://doi.org/10.1093/gbe/evab158	 --
Metarhizium album	ARSEF1941	ClMaARSEF1941	MW448543.1	68425	26.02	Y	https://www.ncbi.nlm.nih.gov/nuccore/MW448543.1	Sun HH, Zhang YJ, Zhang S. Complete mitogenome of the entomopathogenic fungus Metarhizium album and phylogenetic analysis of Hypocreales. Mitochondrial DNA B Resour. 2021,6(6):1689-1690.	https://doi.org/10.1080/23802359.2021.1914229	 --
Metarhizium anisopliae	ME1	ClMaME1	AY884128.1	24673	28.4	Y	https://www.ncbi.nlm.nih.gov/nuccore/AY884128.1	Ghikas DV, Kouvelis VN, Typas MA. The complete mitochondrial genome of the entomopathogenic fungus Metarhizium anisopliae var. anisopliae: gene order and trn gene clusters reveal a common evolutionary course for all Sordariomycetes, while intergenic regions show variation. Arch Microbiol. 2006,185(5):393-401.	http://dx.doi.org/10.1007/s00203-0060104-x	 --
Metarhizium brunneum	ARSEF 4556	ClMbARSEF4556	LR792747.1	24965	28.25	Y	https://www.ncbi.nlm.nih.gov/nuccore/LR792747.1	 --	 --	 --
Metarhizium brunneum	V275	ClMbV275	CM077917.1	24966	28.3	Y	https://www.ncbi.nlm.nih.gov/nuccore/CM077917.1	Kortsinoglou AM, Wood MJ, Myridakis AI, et al. Comparative genomics of Metarhizium brunneum strains V275 and ARSEF 4556: unraveling intraspecies diversity. G3 (Bethesda). 2024,14(10):jkae190.	https://doi.org/10.1093/g3journal/jkae190	 --
Metarhizium pinghaense	 --	ClMpOQ581157	OQ581157.1	28149	27.5	Y	https://www.ncbi.nlm.nih.gov/nuccore/OQ581157.1	 --	 --	 --
Metarhizium pinghaense	 --	ClMpNC_072148	NC_072148.1	35763	27.08	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_072148.1	Complete mitogenome of the entomopathogenic fungus Metarhizium	 --	 --
Metarhizium rileyi	RCEF 4871	ClMrRCEF4871	NC_047289.1	62514	26.42	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_047289.1	Zhang S, Ren LY,  Zhang YJ. Complete mitogenome of the entomopathogenic fungus Metarhizium rileyi. Mitochondrial DNA Part B. 2020,5(2):1494–1495.	https://doi.org/10.1080/23802359.2020.1742596	 --
Metarhizium robertsii	 --	ClMrOQ434218	OQ434218.1	24945	28.27	Y	https://www.ncbi.nlm.nih.gov/nuccore/OQ434218.1	 --	 --	 --
Orbiocrella petchii	SD3	ClOpSD3	NC_049079.1	23794	28.12	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_049079.1	 --	 --	 --
Ustilaginoidea virens	LN02	ClUvLN02	CP135112.1	126472	27.4	Y	https://www.ncbi.nlm.nih.gov/nuccore/CP135112.1	Xue M, Zhao S, Gu G, et al. A Genome-Wide Comparison of Rice False Smut Fungus Villosiclava virens Albino Strain LN02 Reveals the Genetic Diversity of Secondary Metabolites and the Cause of Albinism. Int J Mol Sci. 2023,24(20):15196.	https://doi.org/10.3390/ijms242015196	 --
Ustilaginoidea virens	UV-8b	ClUvUV-8b	NW_025064823.1	98050	27.39	Y	https://www.ncbi.nlm.nih.gov/nuccore/NW_025064823.1	Zhang K, Zhao Z, Zhang Z, et al. Insights into genomic evolution from the chromosomal and mitochondrial genomes of Ustilaginoidea virens. Phytopathol Res. 2021,3(1):9.	https://doi.org/10.1186/s42483-021-00086-x	 --
Ustilaginoidea virens	P1	ClUvP1	CP049932.1	100571	27.37	Y	https://www.ncbi.nlm.nih.gov/nuccore/CP049932.1	Zhang K, Zhao Z, Zhang Z, et al. Insights into genomic evolution from the chromosomal and mitochondrial genomes of Ustilaginoidea virens. Phytopathol Res. 2021,3(1):9.	https://doi.org/10.1186/s42483-021-00086-x	 --
