Species	Strains	Abbreviation	Accession	Genome_size	GC content (%)	Complete 	Download	Reference	Reference_link	Note.
Fusarium aethiopicum	CBS122858	NeFaCBS122858	MW182651.1	100557	31.79	Y	https://www.ncbi.nlm.nih.gov/nuccore/MW182651.1	Wyrębek J, Molcan T, Myszczyński K, et al. Uncovering Diagnostic Value of Mitogenome for Identification of Cryptic Species Fusarium graminearum Sensu Stricto. Front Microbiol. 2021,12:714651.	https://doi.org/10.3389/fmicb.2021.714651	 --
Fusarium ananatum	CBS 118516	NeFaCBS118516	MT010930.1	68559	31.29	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT010930.1	Brankovics B, van Diepeningen AD, de Hoog GS, et al. Detecting Introgression Between Members of the Fusarium fujikuroi and F. oxysporum Species Complexes by Comparative Mitogenomics. Front. Microbiol. 2020,11:1092.	https://doi.org/10.3389/fmicb.2020.01092	 --
Fusarium andiyazi	CBS 119857	NeFaCBS119857	MT010917.1	49861	32.97	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT010917.1	Brankovics B, van Diepeningen AD, de Hoog GS, et al. Detecting Introgression Between Members of the Fusarium fujikuroi and F. oxysporum Species Complexes by Comparative Mitogenomics. Front. Microbiol. 2020,11:1092.	https://doi.org/10.3389/fmicb.2020.01092	 --
Fusarium annulatum	CBS 258.54	NeFaCBS258.54	MT010912.1	50355	32.02	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT010912.1	Brankovics B, van Diepeningen AD, de Hoog GS, et al. Detecting Introgression Between Members of the Fusarium fujikuroi and F. oxysporum Species Complexes by Comparative Mitogenomics. Front. Microbiol. 2020,11:1092.	https://doi.org/10.3389/fmicb.2020.01092	 --
Fusarium anthophilum	CBS 119858	NeFaCBS119858	MT010928.1	56307	32.22	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT010928.1	Brankovics B, van Diepeningen AD, de Hoog GS, et al. Detecting Introgression Between Members of the Fusarium fujikuroi and F. oxysporum Species Complexes by Comparative Mitogenomics. Front. Microbiol. 2020,11:1092.	https://doi.org/10.3389/fmicb.2020.01092	 --
Fusarium asiaticum	CBS110258	NeFaCBS110258	NC_063717.1	93343	31.41	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_063717.1	Wyrębek J, Molcan T, Myszczyński K, et al. Uncovering Diagnostic Value of Mitogenome for Identification of Cryptic Species Fusarium graminearum Sensu Stricto. Front Microbiol. 2021,12:714651.	https://doi.org/10.3389/fmicb.2021.714651	 --
Fusarium asiaticum	191317	NeFa191317	MN935429.1	91967	31.61	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935429.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180459	NeFa180459	MN935428.1	91352	31.69	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935428.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180432	NeFa180432	MN935427.1	94917	31.57	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935427.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180388	NeFa180388	MN935426.1	89969	31.68	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935426.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180363	NeFa180363	MN935425.1	93531	31.57	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935425.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180341	NeFa180341	MN935424.1	94863	31.55	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935424.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180288	NeFa180288	MN935423.1	95057	31.55	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935423.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180283	NeFa180283	MN935422.1	98876	31.47	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935422.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180282	NeFa180282	MN935421.1	98925	31.49	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935421.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180281	NeFa180281	MN935420.1	96064	31.49	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935420.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180279	NeFa180279	MN935419.1	96064	31.49	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935419.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180277	NeFa180277	MN935418.1	93295	31.58	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935418.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180275	NeFa180275	MN935417.1	98920	31.49	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935417.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180273	NeFa180273	MN935416.1	89966	31.68	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935416.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180271	NeFa180271	MN935415.1	90022	31.71	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935415.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180269	NeFa180269	MN935414.1	90019	31.71	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935414.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180267	NeFa180267	MN935413.1	93346	31.61	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935413.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180265	NeFa180265	MN935412.1	90024	31.72	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935412.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180250	NeFa180250	MN935411.1	93348	31.61	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935411.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180249	NeFa180249	MN935410.1	96080	31.5	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935410.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180246	NeFa180246	MN935409.1	96065	31.49	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935409.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180243	NeFa180243	MN935408.1	90023	31.71	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935408.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180242	NeFa180242	MN935407.1	89969	31.68	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935407.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180222	NeFa180222	MN935406.1	89969	31.68	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935406.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180221	NeFa180221	MN935405.1	90023	31.71	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935405.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180220	NeFa180220	MN935404.1	90025	31.71	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935404.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180219	NeFa180219	MN935403.1	91300	31.66	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935403.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180216	NeFa180216	MN935402.1	96625	31.52	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935402.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180212	NeFa180212	MN935401.1	93295	31.58	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935401.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180207	NeFa180207	MN935400.1	91300	31.66	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935400.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180203	NeFa180203	MN935399.1	93348	31.61	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935399.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180200	NeFa180200	MN935398.1	93292	31.58	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935398.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180197	NeFa180197	MN935397.1	96569	31.5	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935397.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180194	NeFa180194	MN935396.1	89967	31.68	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935396.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180192	NeFa180192	MN935395.1	94861	31.55	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935395.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180188	NeFa180188	MN935394.1	93352	31.61	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935394.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180123	NeFa180123	MN935393.1	94863	31.55	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935393.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180106	NeFa180106	MN935392.1	93296	31.59	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935392.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180105	NeFa180105	MN935391.1	94869	31.56	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935391.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180104	NeFa180104	MN935390.1	93294	31.58	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935390.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180103	NeFa180103	MN935389.1	93294	31.58	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935389.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180102	NeFa180102	MN935388.1	93295	31.58	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935388.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180101	NeFa180101	MN935387.1	93295	31.58	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935387.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	180100	NeFa180100	MN935386.1	93345	31.61	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935386.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	174251	NeFa174251	MN935385.1	94431	31.58	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935385.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	174240	NeFa174240	MN935384.1	96573	31.5	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935384.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	174231	NeFa174231	MN935383.1	93294	31.58	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935383.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	172123	NeFa172123	MN935382.1	91354	31.69	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935382.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	172122	NeFa172122	MN935381.1	93663	31.55	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935381.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	172120	NeFa172120	MN935380.1	90021	31.71	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935380.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	172119	NeFa172119	MN935379.1	93295	31.58	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935379.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	172118	NeFa172118	MN935378.1	91301	31.66	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935378.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	172117	NeFa172117	MN935377.1	95003	31.53	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935377.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	172114	NeFa172114	MN935376.1	93295	31.58	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935376.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	171670	NeFa171670	MN935375.1	89971	31.68	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935375.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	171669	NeFa171669	MN935374.1	91304	31.66	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935374.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	171668	NeFa171668	MN935373.1	89984	31.69	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935373.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	171663	NeFa171663	MN935372.1	91300	31.66	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935372.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	171660	NeFa171660	MN935371.1	89978	31.69	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935371.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
