Species	Strains	Abbreviation	Accession	Genome_size	GC content (%)	Complete 	Download	Reference	Reference_link	Note.
Beauveria bassiana	YMM	CoBbYMM	OM782667	28815	27.09	Y	https://www.ncbi.nlm.nih.gov/nuccore/OM782667.1	Bai Y, Gao X, Wang H, et al. Comparative mitogenome analysis reveals mitochondrial genome characteristics in eight strains of Beauveria. PeerJ. 2022,10:e14067.	https://doi.org/10.7717/peerj.14067	 --
Beauveria bassiana	ERL836	CoBbERL836	CM020964 	28820	27.18	Y	https://www.ncbi.nlm.nih.gov/nuccore/CM020964.1	Lee SJ, Kim S, Kim JC, et al. Entomopathogenic Beauveria bassiana granules to control soil-dwelling stage of western flower thrips, Frankliniella occidentalis (Thysanoptera: Thripidae). BioControl. 2017, 62:639–648. 	https://doi.org/10.1007/s10526-017-9818-8	 --
Beauveria bassiana	ZJ001	CoBbZJ001	MH211586.1	31258	27.0	Y	https://www.ncbi.nlm.nih.gov/nuccore/MH211586.1	Wang C, Feng J, Chen Y, et al. Revealing mitogenome-wide DNA methylation and RNA editing of three Ascomycotina fungi using SMRT sequencing. Mitochondrion. 2020,51:88-96.	https://doi.org/10.1016/j.mito.2020.01.003	 --
Beauveria bassiana	e17	CoBbe17	KT201149.1	29944	27.07	Y	https://www.ncbi.nlm.nih.gov/nuccore/KT201149.1	Glare T, Campbell M, Biggs P, et al. Mitochondrial evolution in the entomopathogenic fungal genus Beauveria. Arch Insect Biochem Physiol. 2020,105(4):e21754.	https://doi.org/10.1002/arch.21754	 --
Beauveria brongniartii	GYU-BMZ03	CoBbGYU-BMZ03	OM782668	35999	27.03	Y	https://www.ncbi.nlm.nih.gov/nuccore/OM782668.1	Bai Y, Gao X, Wang H, et al. Comparative mitogenome analysis reveals mitochondrial genome characteristics in eight strains of Beauveria. PeerJ. 2022,10:e14067.	https://doi.org/10.7717/peerj.14067	 --
Beauveria caledonica	fhr1	CoBcfhr1	NC_030636	38316	26.26	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_030636.1	Glare T, Campbell M, Biggs P, et al. Mitochondrial evolution in the entomopathogenic fungal genus Beauveria. Arch Insect Biochem Physiol. 2020,105(4):e21754.	https://doi.org/10.1002/arch.21754	 --
Beauveria caledonica	ATCC 64970	CoBcATCC64970	OM782666	30223	27.02	Y	https://www.ncbi.nlm.nih.gov/nuccore/OM782666.1	Bai Y, Gao X, Wang H, et al. Comparative mitogenome analysis reveals mitochondrial genome characteristics in eight strains of Beauveria. PeerJ. 2022,10:e14067.	https://doi.org/10.7717/peerj.14067	 --
Beauveria felina	45539	CoBf45539	PQ516710.1	27301	26.42	Y	https://www.ncbi.nlm.nih.gov/nuccore/PQ516710.1	 --	 --	 --
Beauveria lii	RCEF5500	CoBlRCEF5500	NC_053825	59014	25.97	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_053825.1	The complete mitochondrial genome of Beauveia lii (Hypocreales: Cordycipitaceae)	 --	 --
Beauveria malawiensis	k89	CoBmk89	NC_030635	44135	26.72	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_030635.1	Glare T, Campbell M, Biggs P, et al. Mitochondrial evolution in the entomopathogenic fungal genus Beauveria. Arch Insect Biochem Physiol. 2020,105(4):e21754.	https://doi.org/10.1002/arch.21754	 --
Beauveria pseudobassiana	NPCB_GS01	CoBpNPCB_GS01	OR545380.1	28258	27.55	Y	https://www.ncbi.nlm.nih.gov/nuccore/OR545380.1	 --	 --	 --
Beauveria pseudobassiana	C1010	CoBpC1010	NC_022708	28006	27.54	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_022708.1	 --	 --	 --
Beauveria pseudobassiana	ATCC 90518	CoBpATCC90518	OM782665	26850	27.53	Y	https://www.ncbi.nlm.nih.gov/nuccore/OM782665.1	Bai Y, Gao X, Wang H, et al. Comparative mitogenome analysis reveals mitochondrial genome characteristics in eight strains of Beauveria. PeerJ. 2022,10:e14067.	https://doi.org/10.7717/peerj.14067	 --
Blackwellomyces roseostromatus	 --	CoBrOR471584	OR471584.1	63681	25.05	Y	https://www.ncbi.nlm.nih.gov/nuccore/OR471584.1	 --	 --	 --
Blackwellomyces sp.	QW-2023a strain YFCC 9250	CoBsQW-2023aYFCC9250	OR459805	54058	24.89	Y	https://www.ncbi.nlm.nih.gov/nuccore/OR459805.1	Ma J, Wang Z, Yang Z, Sun T, Yang S, Yu H. Morphology, phylogeny, and mitogenomics reveal a new entomopathogenic fungus, Blackwellomyces changningensis (Hypocreales, Clavicipitaceae), from southwestern China. Mycologia. 2024,6:1-17.	https://doi.org/10.1080/00275514.2024.2399996	 --
Cordyceps bassiana	Bb147	CoCbBb147	EU100742.1	32263	26.99	Y	https://www.ncbi.nlm.nih.gov/nuccore/EU100742.1	Ghikas DV, Kouvelis VN, Typas MA. Phylogenetic and biogeographic implications inferred by mitochondrial intergenic region analyses and ITS1-5.8S-ITS2 of the entomopathogenic fungi Beauveria bassiana and B. brongniartii. BMC Microbiol. 2010,10:174.	https://doi.org/10.1186/1471-2180-10-174	 --
Cordyceps blackwelliae	ZYJ0835	CoCbZYJ0835	CM105459.1	42257	25.85	Y	https://www.ncbi.nlm.nih.gov/nuccore/CM105459.1	Li JN, Zhang S, Zhang YJ. ﻿Multi-omics insights into growth and fruiting body development in the entomopathogenic fungus Cordycepsblackwelliae. IMA Fungus. 2025,16:e147558.	https://doi.org/10.3897/imafungus.16.147558	 --
Cordyceps blackwelliae	CCTCC:M2022663	CoCbCCTCCM2022663	OM403992	42257	25.85	Y	https://www.ncbi.nlm.nih.gov/nuccore/OM403992.1	Zhang YJ, Fan XP, Li JN, et al. Mitochondrial genome of Cordyceps blackwelliae: organization, transcription, and evolutionary insights into Cordyceps. IMA Fungus. 2023,14(1):13.	https://doi.org/10.1186/s43008-023-00118-5	 --
Cordyceps blackwelliae	CCTCC:AF 2021076	CoCbCCTCCAF2021076	NC_068268	42257	25.85	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_068268.1	 --	 --	 --
Cordyceps brongniartii	 --	CoCbNC_011194	NC_011194	33926	27.34	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_011194.1	Ghikas DV, Kouvelis VN, Typas MA. Phylogenetic and biogeographic implications inferred by mitochondrial intergenic region analyses and ITS1-5.8S-ITS2 of the entomopathogenic fungi Beauveria bassiana and B. brongniartii. BMC Microbiol. 2010,10:174.	https://doi.org/10.1186/1471-2180-10-174	 --
Cordyceps brongniartii	IMBST95031	CoCbIMBST95031	EU100743.1	33926	27.34	Y	https://www.ncbi.nlm.nih.gov/nuccore/EU100743.1	Ghikas DV, Kouvelis VN, Typas MA. Phylogenetic and biogeographic implications inferred by mitochondrial intergenic region analyses and ITS1-5.8S-ITS2 of the entomopathogenic fungi Beauveria bassiana and B. brongniartii. BMC Microbiol. 2010,10:174.	https://doi.org/10.1186/1471-2180-10-174	 --
Cordyceps chanhua	FC2	CoCcFC2	PQ462289.1	51692	26.27	Y	https://www.ncbi.nlm.nih.gov/nuccore/PQ462289.1	 --	 --	 --
Cordyceps chanhua	JGS-7	CoCcJGS-7	MH734937	47347	26.31	Y	https://www.ncbi.nlm.nih.gov/nuccore/MH734937.2	Exploreing new molucular markers for genetic diversity researsh of Cordyceps cicadae	 --	 --
Cordyceps cicadae	YFCC 8003	CoCcYFCC8003	MN922302.1	25365	28.07	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN922302.1	The complete mitochondrial genome of Cordyceps cicadae S.Z. Shing and insights into its new phylogenetic position in the genus Tolypocladium of Ophiocordycipitaceae	 --	 --
Cordyceps cicadae	ARSEF 11726	CoCcARSEF11726	MK110677	49138	26.22	Y	https://www.ncbi.nlm.nih.gov/nuccore/MK110677.1	Fan WW, Zhang S, Zhang YJ. The complete mitochondrial genome of the Chan-hua fungus Isaria cicadae: a tale of intron evolution in Cordycipitaceae. Environ Microbiol. 2019,21(2):864-879.	https://doi.org/10.1111/1462-2920.14522	 --
Cordyceps cicadae	CCAD02	CoCcCCAD02	NC_041489	56581	26.12	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_041489.1	Fan WW, Zhang S, Zhang YJ. The complete mitochondrial genome of the Chan-hua fungus Isaria cicadae: a tale of intron evolution in Cordycipitaceae. Environ Microbiol. 2019,21(2):864-879.	https://doi.org/10.1111/1462-2920.14522	 --
Cordyceps cocoonihabita	 --	CoCcPQ468419	PQ468419.1	45058	25.13	Y	https://www.ncbi.nlm.nih.gov/nuccore/PQ468419.1	 --	 --	 --
Cordyceps farinosa	YFCC8744	CcCfYFCC8744	NC_068193	31285	26.7	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_068193.1	Study on Genomics of Cordyceps farinosa and its related species	 --	 --
Cordyceps farinosa	ARSEF 3	CoCfARSEF3	MK512381	24225	26.61	Y	https://www.ncbi.nlm.nih.gov/nuccore/MK512381.1	Zhang YJ, Zhang S. Complete mitogenome of the entomopathogenic fungus Isaria farinosa ARSEF 3. Mitochondrial DNA Part B. 2019,4(1):1499–1500.	https://doi.org/10.1080/23802359.2019.1601515	 --
Cordyceps fumosorosea	 --	CoCfPQ276910	PQ276910.1	24246	26.64	Y	https://www.ncbi.nlm.nih.gov/nuccore/PQ276910.1	Complete mitochondrial genomes of Cordyceps fumosorosea (Hypocreales)	 --	 --
Cordyceps javanica	Apopka 97	CoCjApopka97	CP146854.1	34146	26.32	Y	https://www.ncbi.nlm.nih.gov/nuccore/CP146854.1	Comprehensive Pan-Proteomic Analysis of Hypocreale Fungi: A Valuable Resource for Enhancing Genome Mining Success	 --	 --
Cordyceps militaris	 --	CoCmMW387535	MW387535	29951	26.84	Y	https://www.ncbi.nlm.nih.gov/nuccore/MW387535.1	 --	 --	 --
Cordyceps militaris	CM01	CoCmCM01	KP719096.1	31854	26.97	Y	https://www.ncbi.nlm.nih.gov/nuccore/KP719096.1	Zhang Y, Zhang S, Zhang G, et al. Comparison of mitochondrial genomes provides insights into intron dynamics and evolution in the caterpillar fungus Cordyceps militaris. Fungal Genet Biol. 2015,77:95-107.	https://doi.org/10.1016/j.fgb.2015.04.009	 --
Cordyceps militaris	 --	CoCmPQ468420	PQ468420.1	29929	26.98	Y	https://www.ncbi.nlm.nih.gov/nuccore/PQ468420.1	 --	 --	 --
Cordyceps militaris	gcm132	CoCmgcm132	OR260465	31854	26.97	Y	https://www.ncbi.nlm.nih.gov/nuccore/OR260465.1	Complete mitochondrial genome of four Cordyceps militaris (L. ex Fr.) Link. (Ascomycota, Cordycipitaceae)	 --	 --
Cordyceps militaris	gcm107	CoCmgcm107	OR260464	29604	27.06	Y	https://www.ncbi.nlm.nih.gov/nuccore/OR260464.1	Complete mitochondrial genome of four Cordyceps militaris (L. ex Fr.) Link. (Ascomycota, Cordycipitaceae)	 --	 --
Cordyceps militaris	gcm19	CoCmgcm19	OR260463	29915	26.98	Y	https://www.ncbi.nlm.nih.gov/nuccore/OR260463.1	Complete mitochondrial genome of four Cordyceps militaris (L. ex Fr.) Link. (Ascomycota, Cordycipitaceae)	 -- 	 --
Cordyceps militaris	gcm05	CoCmgcm05	OR260462	34706	26.87	Y	https://www.ncbi.nlm.nih.gov/nuccore/OR260462.1	Complete mitochondrial genome of four Cordyceps militaris (L. ex Fr.) Link. (Ascomycota, Cordycipitaceae)	 --	 --
Cordyceps militaris	EFCC-C2	CoCmEFCC-C2	NC_022834	33277	26.79	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_022834.1	Complete mitochondrial genome of the Cordyceps militaris	 --	 --
Cordyceps militaris	BCRC 32219	CoCmBCRC32219	OM203117	39362	26.19	Y	https://www.ncbi.nlm.nih.gov/nuccore/OM203117.1	 --	 --	 --
Cordyceps militaris	CFCC 89524	CoCmCFCC89524	OM203116	38435	26.29	Y	https://www.ncbi.nlm.nih.gov/nuccore/OM203116.1	 --	 --	 --
Cordyceps militaris	ARSEF 4081	CoCmARSEF4081	OM203115	34879	26.43	Y	https://www.ncbi.nlm.nih.gov/nuccore/OM203115.1	 --	 --	 --
Cordyceps militaris	YFCC 8602	CoCmYFCC8602	MW387534	34286	26.86	Y	https://www.ncbi.nlm.nih.gov/nuccore/MW387534.1	 --	 --	 --
Cordyceps militaris	HN001	CoCmHN001	MH211587.1	31854	26.97	Y	https://www.ncbi.nlm.nih.gov/nuccore/MH211587.1	 --	 --	 --
Cordyceps militaris	CM09-31-28	CoCmCM09-31-28	KP722513.2	27245	27.19	Y	https://www.ncbi.nlm.nih.gov/nuccore/KP722513.2	Zhang Y, Zhang S, Zhang G, et al. Comparison of mitochondrial genomes provides insights into intron dynamics and evolution in the caterpillar fungus Cordyceps militaris. Fungal Genet Biol. 2015,77:95-107.	https://doi.org/10.1016/j.fgb.2015.04.009	 --
Cordyceps militaris	V40-4	CoCmV40-4	KP722512.2	27235	27.17	Y	https://www.ncbi.nlm.nih.gov/nuccore/KP722512.2	Zhang Y, Zhang S, Zhang G, et al. Comparison of mitochondrial genomes provides insights into intron dynamics and evolution in the caterpillar fungus Cordyceps militaris. Fungal Genet Biol. 2015,77:95-107.	https://doi.org/10.1016/j.fgb.2015.04.009	 --
Cordyceps militaris	CMB	CoCmCMB	KP722507.2	30026	27.32	Y	https://www.ncbi.nlm.nih.gov/nuccore/KP722507.2	Zhang Y, Zhang S, Zhang G, et al. Comparison of mitochondrial genomes provides insights into intron dynamics and evolution in the caterpillar fungus Cordyceps militaris. Fungal Genet Biol. 2015,77:95-107.	https://doi.org/10.1016/j.fgb.2015.04.009	 --
Cordyceps militaris	F02	CoCmF02	KP722505.2	31854	26.97	Y	https://www.ncbi.nlm.nih.gov/nuccore/KP722505.2	Zhang Y, Zhang S, Zhang G, et al. Comparison of mitochondrial genomes provides insights into intron dynamics and evolution in the caterpillar fungus Cordyceps militaris. Fungal Genet Biol. 2015,77:95-107.	https://doi.org/10.1016/j.fgb.2015.04.009	 --
Cordyceps militaris	CM552	CoCmCM552	KP722502.2	30662	27.07	Y	https://www.ncbi.nlm.nih.gov/nuccore/KP722502.2	Zhang Y, Zhang S, Zhang G, et al. Comparison of mitochondrial genomes provides insights into intron dynamics and evolution in the caterpillar fungus Cordyceps militaris. Fungal Genet Biol. 2015,77:95-107.	https://doi.org/10.1016/j.fgb.2015.04.009	 --
Cordyceps militaris	CM06	CoCmCM06	KP722500.2	26535	27.22	Y	https://www.ncbi.nlm.nih.gov/nuccore/KP722500.2	Zhang Y, Zhang S, Zhang G, et al. Comparison of mitochondrial genomes provides insights into intron dynamics and evolution in the caterpillar fungus Cordyceps militaris. Fungal Genet Biol. 2015,77:95-107.	https://doi.org/10.1016/j.fgb.2015.04.009	 --
Cordyceps militaris	CM09-9-24	CoCmCM09-9-24	KP722496.2	28285	27.09	Y	https://www.ncbi.nlm.nih.gov/nuccore/KP722496.2	Zhang Y, Zhang S, Zhang G, et al. Comparison of mitochondrial genomes provides insights into intron dynamics and evolution in the caterpillar fungus Cordyceps militaris. Fungal Genet Biol. 2015,77:95-107.	https://doi.org/10.1016/j.fgb.2015.04.009	 --
Cordyceps militaris	V40-5	CoCmV40-5	KP722501.2	33967	26.76	Y	https://www.ncbi.nlm.nih.gov/nuccore/KP722501.2	Zhang Y, Zhang S, Zhang G, et al. Comparison of mitochondrial genomes provides insights into intron dynamics and evolution in the caterpillar fungus Cordyceps militaris. Fungal Genet Biol. 2015,77:95-107.	https://doi.org/10.1016/j.fgb.2015.04.009	 --
Cordyceps militaris	V26-17	CoCmV26-17	KP719097.1	29478	26.99	Y	https://www.ncbi.nlm.nih.gov/nuccore/KP719097.1	Zhang Y, Zhang S, Zhang G, et al. Comparison of mitochondrial genomes provides insights into intron dynamics and evolution in the caterpillar fungus Cordyceps militaris. Fungal Genet Biol. 2015,77:95-107.	https://doi.org/10.1016/j.fgb.2015.04.009	 --
Cordyceps neopruinosa	 --	CoCnPQ468421	PQ468421.1	35680	25.85	Y	https://www.ncbi.nlm.nih.gov/nuccore/PQ468421.1	 --	 --	 --
Cordyceps pruinosa	 --	CoCpMN515031	MN515031	34094	26.04	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN515031.1	The complete mitochondrial genome of the medically important entomopathogenic fungus Cordyceps pruinosa and its phylogenetic relationships to other species of Hypocreales	 --	 --
Cordyceps pruinosa	 --	CoCpPQ468422	PQ468422.1	45714	25.46	Y	https://www.ncbi.nlm.nih.gov/nuccore/PQ468422.1	 --	 --	 --
Cordyceps pruinosa	 --	CoCpNC_060296	NC_060296	34094	26.04	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_060296.1	The complete mitochondrial genome of the medically important entomopathogenic fungus Cordyceps pruinosa and its phylogenetic relationships to other species of Hypocreales	 --	 --
Cordyceps tenuipes	 --	CoCtMK234910	MK234910	31386	26.99	Y	https://www.ncbi.nlm.nih.gov/nuccore/MK234910.1	Li D, Zhang G, Huang L, et al. Complete mitochondrial genome of the important entomopathogenic fungus Cordyceps tenuipes (Hypocreales, Cordycipitaceae). Mitochondrial DNA Part B. 2019,4(1):1329–1331.	https://doi.org/10.1080/23802359.2019.1596769	 --
Cordyceps tenuipes	 --	CoCtPQ468423	PQ468423.1	37032	26.68	Y	https://www.ncbi.nlm.nih.gov/nuccore/PQ468423.1	 --	 --	 --
Cordyceps tenuipes	YFCC 8601	CoCtYFCC8601	MW387533	40752	26.59	Y	https://www.ncbi.nlm.nih.gov/nuccore/MW387533.1	 --	 --	 --
Corniculantispora psalliotae	CBS 505.48	CoCpCBS505.48	PQ658194.1	27515	27.17	Y	https://www.ncbi.nlm.nih.gov/nuccore/PQ658194.1	 --	 --	 --
Gibellula penicillioides	RCEF7512	CoGpRCEF7512	PQ625784.1	79437	28.69	Y	https://www.ncbi.nlm.nih.gov/nuccore/PQ625784.1	 --	 --	 --
Hevansia sp.	RCEF7275	CoHsRCEF7275	PQ625787.1	132840	27.8	Y	https://www.ncbi.nlm.nih.gov/nuccore/PQ625787.1	 --	 --	 --
Lecanicillium muscarium	 --	CoLmNC_004514	NC_004514	24499	27.15	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_004514.1	Kouvelis VN, Ghikas DV, Typas MA. The analysis of the complete mitochondrial genome of Lecanicillium muscarium (synonym Verticillium lecanii) suggests a minimum common gene organization in mtDNAs of Sordariomycetes: phylogenetic implications. Fungal Genet Biol. 2004,41(10):930-940.	https://doi.org/10.1016/j.fgb.2004.07.003	 --
Lecanicillium muscarium	 --	CoLmAF487277	AF487277.1	24499	27.15	Y	https://www.ncbi.nlm.nih.gov/nuccore/AF487277.1	Kouvelis VN, Ghikas DV, Typas MA. The analysis of the complete mitochondrial genome of Lecanicillium muscarium (synonym Verticillium lecanii) suggests a minimum common gene organization in mtDNAs of Sordariomycetes: phylogenetic implications. Fungal Genet Biol. 2004,41(10):930-940.	https://doi.org/10.1016/j.fgb.2004.07.003	 --
Lecanicillium saksenae	 --	CoLsNC_028330	NC_028330	25919	26.53	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_028330.1	Xin B, Lin R, Shen B, et al. The complete mitochondrial genome of the nematophagous fungus Lecanicillium saksenae. Mitochondrial DNA Part A. 2015,28(1):52–53.	https://doi.org/10.3109/19401736.2015.1110794	 --
Lecanicillium saksenae	 --	CoLsKT585676	KT585676.1	25919	26.53	Y	https://www.ncbi.nlm.nih.gov/nuccore/KT585676.1	Xin B, Lin R, Shen B, et al. The complete mitochondrial genome of the nematophagous fungus Lecanicillium saksenae. Mitochondrial DNA Part A. 2015,28(1):52–53.	https://doi.org/10.3109/19401736.2015.1110794	 --
Niveomyces insectorum	RCEF 264	CoNiRCEF264	MK482392	31454	24.72	Y	https://www.ncbi.nlm.nih.gov/nuccore/MK482392.1	Zhang S, Zhang YJ, Li ZL. Complete mitogenome of the entomopathogenic fungus Sporothrix insectorum RCEF 264 and comparative mitogenomics in Ophiostomatales. Appl Microbiol Biotechnol. 2019,103(14):5797-5809.	https://doi.org/10.1007/s00253-019-09855-3	 --
Parengyodontium album	ATCC:56482	CoPaATCC56482	NC_032302	28081	25.87	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_032302.1	Yuan XL, Mao XX, Liu XM, et al. The complete mitochondrial genome of Engyodontium album and comparative analyses with Ascomycota mitogenomes. Genet Mol Biol. 2017,40(4):844-854.	https://doi.org/10.1590/1678-4685-GMB-2016-0308	 --
Parengyodontium sp.	 --	CoPsOL350821	OL350821	27039	25.94	Y	https://www.ncbi.nlm.nih.gov/nuccore/OL350821.1	 --	 --	 --
Samsoniella aranea	RCEF2831	CoSaRCEF2831	PQ625785.1	24231	26.59	Y	https://www.ncbi.nlm.nih.gov/nuccore/PQ625785.1	 --	 --	 --
Samsoniella hepiali	ICMM82-2	CoShICMM82-2	NC_068092	24246	26.64	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_068092.1	Sun T, Li T, Huang O, et al. Phylogenetic analysis of the mitochondrial genome of the Samsoniella hepiali holotype strain. Mycosystema. 2022,41(10):1572-1584.	10.13346/j.mycosystema.220030(中文)	 --
