Species	Strains	Abbreviation	Genome_size	Accession	GC content (%)	Complete 	Download	Reference	Reference_link	Note.
Trichoderma asperellum	PK1J2	HyTaPK1J2	29810	BK068326.1	28.01	Y	https://www.ncbi.nlm.nih.gov/nuccore/BK068326.1	Wang X, Wang Z, Yang F, et al. Assembly, Annotation, and Comparative Analysis of Mitochondrial Genomes in Trichoderma. Int J Mol Sci. 2024,25(22):12140.	https://doi.org/10.3390/ijms252212140	 --
Trichoderma asperellum	ICC 012	HyTaICC_012	28621	BK068324.1	27.89	Y	https://www.ncbi.nlm.nih.gov/nuccore/BK068324.1	Wang X, Wang Z, Yang F, et al. Assembly, Annotation, and Comparative Analysis of Mitochondrial Genomes in Trichoderma. Int J Mol Sci. 2024,25(22):12140.	https://doi.org/10.3390/ijms252212140	 --
Trichoderma asperellum	DQ-1	HyTaDQ-1	30276	PP933709.1	27.84	Y	https://www.ncbi.nlm.nih.gov/nuccore/PP933709.1	Wang X, Wang Z, Yang F, et al. Assembly, Annotation, and Comparative Analysis of Mitochondrial Genomes in Trichoderma. Int J Mol Sci. 2024,25(22):12140.	https://doi.org/10.3390/ijms252212140	 --
Trichoderma asperellum	HL007	HyTaHL007	30276	PP952395.1	27.84	Y	https://www.ncbi.nlm.nih.gov/nuccore/PP952395.1	Wang X, Wang Z, Yang F, et al. Assembly, Annotation, and Comparative Analysis of Mitochondrial Genomes in Trichoderma. Int J Mol Sci. 2024,25(22):12140.	https://doi.org/10.3390/ijms252212140	 --
Trichoderma asperellum	B05	HyTaB05	29999	NC_037075.1	27.78	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_037075.1	 --	 --	 --
Trichoderma asperellum	FT101	HyTaFT101	30285	CP084950.1	27.84	Y	https://www.ncbi.nlm.nih.gov/nuccore/CP084950.1	Li WC, Lin TC, Chen CL, et al. Complete Genome Sequences and Genome-Wide Characterization of Trichoderma Biocontrol Agents Provide New Insights into their Evolution and Variation in Genome Organization, Sexual Development, and Fungal-Plant Interactions. Microbiol Spectr. 2021,9(3):e0066321.	https://doi.org/10.1128/Spectrum.00663-21	 --
Trichoderma atroviride	HL088	HyTaHL088	31265	PP952396.1	27.99	Y	https://www.ncbi.nlm.nih.gov/nuccore/PP952396.1	Wang X, Wang Z, Yang F, et al. Assembly, Annotation, and Comparative Analysis of Mitochondrial Genomes in Trichoderma. Int J Mol Sci. 2024,25(22):12140.	https://doi.org/10.3390/ijms252212140	 --
Trichoderma atroviride	ATCC 26799	HyTaATCC26799	32758	NC_048477.1	28.18	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_048477.1	Kwak Y. Complete Mitochondrial Genome of the Fungal Biocontrol Agent Trichoderma atroviride: Genomic Features, Comparative Analysis and Insight Into the Mitochondrial Evolution in Trichoderma. Front Microbiol. 2020,11:785.	https://doi.org/10.3389/fmicb.2020.00785	 --
Trichoderma atroviride	P1	HyTaP1	29981	CP084942.1	28.1	Y	https://www.ncbi.nlm.nih.gov/nuccore/CP084942.1	Li WC, Lin TC, Chen CL, et al. Complete Genome Sequences and Genome-Wide Characterization of Trichoderma Biocontrol Agents Provide New Insights into their Evolution and Variation in Genome Organization, Sexual Development, and Fungal-Plant Interactions. Microbiol Spectr. 2021,9(3):e0066321.	https://doi.org/10.1128/Spectrum.00663-21	 --
Trichoderma breve	T069	HyTbT069	26285	PP933710.1	27.44	Y	https://www.ncbi.nlm.nih.gov/nuccore/PP933710.1	Wang X, Wang Z, Yang F, et al. Assembly, Annotation, and Comparative Analysis of Mitochondrial Genomes in Trichoderma. Int J Mol Sci. 2024,25(22):12140.	https://doi.org/10.3390/ijms252212140	 --
Trichoderma breve	WC045	HyTbWC045	31266	PP952403.1	27.48	Y	https://www.ncbi.nlm.nih.gov/nuccore/PP952403.1	Wang X, Wang Z, Yang F, et al. Assembly, Annotation, and Comparative Analysis of Mitochondrial Genomes in Trichoderma. Int J Mol Sci. 2024,25(22):12140.	https://doi.org/10.3390/ijms252212140	 --
Trichoderma breve	AI337-ZX01-01-R02	HyTbAI337-ZX01-01-R02	26276	PP952387.1	27.47	Y	https://www.ncbi.nlm.nih.gov/nuccore/PP952387.1	Wang X, Wang Z, Yang F, et al. Assembly, Annotation, and Comparative Analysis of Mitochondrial Genomes in Trichoderma. Int J Mol Sci. 2024,25(22):12140.	https://doi.org/10.3390/ijms252212140	 --
Trichoderma brevicompactum	HA032	HyTbHA032	29486	PP952393.1	26.86	Y	https://www.ncbi.nlm.nih.gov/nuccore/PP952393.1	Wang X, Wang Z, Yang F, et al. Assembly, Annotation, and Comparative Analysis of Mitochondrial Genomes in Trichoderma. Int J Mol Sci. 2024,25(22):12140.	https://doi.org/10.3390/ijms252212140	 --
Trichoderma citrinoviride	FJI-L10-BK-P1	HyTcPV245924	49170	BK068321.1	27.45	Y	https://www.ncbi.nlm.nih.gov/nuccore/BK068321.1	Wang X, Wang Z, Yang F, et al. Assembly, Annotation, and Comparative Analysis of Mitochondrial Genomes in Trichoderma. Int J Mol Sci. 2024,25(22):12140.	https://doi.org/10.3390/ijms252212140	 --
Trichoderma cornu-damae	KA19-0412C	HyTcSLO11	94608	MW525445.1	27.43	Y	https://www.ncbi.nlm.nih.gov/nuccore/MW525445.1	Lee HY, Jo JW, Kwak YN, et al. The complete mitochondrial genome of the poisonous mushroom Trichoderma cornu-damae (Hypocreaceae). Mitochondrial DNA B Resour. 2022,7(11):1899-1901.	https://doi.org/10.1080/23802359.2022.2135393	 --
Trichoderma capillare	 --	HyTcFJI-L10-BK-P1	32779	PV245924.1	27.15	Y	https://www.ncbi.nlm.nih.gov/nuccore/PV245924.1	 --	 --	 --
Trichoderma capillare	SLO11	HyTcKA19-0412C	32467	PV245923.1	27.94	Y	https://www.ncbi.nlm.nih.gov/nuccore/PV245923.1	 --	 --	 --
Trichoderma gamsii	A5MH 	HyTgA5MH	29326	BK068328.1	28.24	Y	https://www.ncbi.nlm.nih.gov/nuccore/BK068328.1	Wang X, Wang Z, Yang F, et al. Assembly, Annotation, and Comparative Analysis of Mitochondrial Genomes in Trichoderma. Int J Mol Sci. 2024,25(22):12140.	https://doi.org/10.3390/ijms252212140	 --
Trichoderma gamsii	KUC1747	HyTgKUC1747	29303	NC_030218.1	28.25	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_030218.1	The complete mitochondrial genome of the biological control agent producing fungus Trichoderma gamsii	 --	 --
Trichoderma ghanense	SC106	HyTgSC106	38007	PP952402.1	27.18	Y	https://www.ncbi.nlm.nih.gov/nuccore/PP952402.1	Wang X, Wang Z, Yang F, et al. Assembly, Annotation, and Comparative Analysis of Mitochondrial Genomes in Trichoderma. Int J Mol Sci. 2024,25(22):12140.	https://doi.org/10.3390/ijms252212140	 --
Trichoderma gracile	HK011	HyTgHK011	45495	PP952394.1	27.14	Y	https://www.ncbi.nlm.nih.gov/nuccore/PP952394.1	Wang X, Wang Z, Yang F, et al. Assembly, Annotation, and Comparative Analysis of Mitochondrial Genomes in Trichoderma. Int J Mol Sci. 2024,25(22):12140.	https://doi.org/10.3390/ijms252212140	 --
Trichoderma hamatum	 --	HyThMF287973	32763	MF287973.1	27.67	Y	https://www.ncbi.nlm.nih.gov/nuccore/MF287973.1	The role of homing endonuclease genes in the adaptation of fungal mitochondrial genomes to environmental stresses	 --	 --
Trichoderma hamatum	YN047	HyThYN047	35307	PP952383.1	27.76	Y	https://www.ncbi.nlm.nih.gov/nuccore/PP952383.1	Wang X, Wang Z, Yang F, et al. Assembly, Annotation, and Comparative Analysis of Mitochondrial Genomes in Trichoderma. Int J Mol Sci. 2024,25(22):12140.	https://doi.org/10.3390/ijms252212140	 --
Trichoderma harzianum	M10 	HyThM10	30361	BK068325.1	27.58	Y	https://www.ncbi.nlm.nih.gov/nuccore/BK068325.1	Wang X, Wang Z, Yang F, et al. Assembly, Annotation, and Comparative Analysis of Mitochondrial Genomes in Trichoderma. Int J Mol Sci. 2024,25(22):12140.	https://doi.org/10.3390/ijms252212140	 --
Trichoderma harzianum	KC1_1	HyThKC1_1	27631	PV137761.1	27.55	Y	https://www.ncbi.nlm.nih.gov/nuccore/PV137761.1	 --	 --	 --
Trichoderma harzianum	CBS 226.95	HyThCBS226.95	27632	MN564945.1	27.55	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN564945.1	Kwak Y. An Update on Trichoderma Mitogenomes: Complete De Novo Mitochondrial Genome of the Fungal Biocontrol Agent Trichoderma harzianum (Hypocreales, Sordariomycetes), an Ex-Neotype Strain CBS 226.95, and Tracing the Evolutionary Divergences of Mitogenomes in Trichoderma. Microorganisms. 2021,9(8):1564.	https://doi.org/10.3390/microorganisms9081564	 --
Trichoderma harzianum	PAR3	HyThMZ713368	27631	MZ713368.1	27.55	Y	https://www.ncbi.nlm.nih.gov/nuccore/MZ713368.1	 --	 --	 --
Trichoderma koningiopsis	RA3a	HyTkRA3a	31023	BK068322.1	28.05	Y	https://www.ncbi.nlm.nih.gov/nuccore/BK068322.1	Wang X, Wang Z, Yang F, et al. Assembly, Annotation, and Comparative Analysis of Mitochondrial Genomes in Trichoderma. Int J Mol Sci. 2024,25(22):12140.	https://doi.org/10.3390/ijms252212140	 --
Trichoderma koningiopsis	HL201	HyTkHL201	29412	PP952397.1	28.17	Y	https://www.ncbi.nlm.nih.gov/nuccore/PP952397.1	Wang X, Wang Z, Yang F, et al. Assembly, Annotation, and Comparative Analysis of Mitochondrial Genomes in Trichoderma. Int J Mol Sci. 2024,25(22):12140.	https://doi.org/10.3390/ijms252212140	 --
Trichoderma koningiopsis	AH009	HyTkAH009	28026	PP952386.1	28.13	Y	https://www.ncbi.nlm.nih.gov/nuccore/PP952386.1	Wang X, Wang Z, Yang F, et al. Assembly, Annotation, and Comparative Analysis of Mitochondrial Genomes in Trichoderma. Int J Mol Sci. 2024,25(22):12140.	https://doi.org/10.3390/ijms252212140	 --
Trichoderma koningiopsis	POS7	HyTkPOS7	27560	MT816499.1	27.67	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT816499.1	Castrillo ML, Bich GA, Zapata PD, et al. Trichoderma Koningiopsis (Hypocreaceae) has the Smallest Mitogenome of the Genus Trichoderma. 2021,PREPRINT (Version 1) .	https://doi.org/10.21203/rs.3.rs-547419/v1	 --
Trichoderma lixii	MUT3171	HyTlMUT3171	29791	NC_052832.1	27.42	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_052832.1	Venice F, Davolos D, Spina F, et al. Genome Sequence of Trichoderma lixii MUT3171, A Promising Strain for Mycoremediation of PAH-Contaminated Sites. Microorganisms. 2020,8(9):1258.	https://doi.org/10.3390/microorganisms8091258	 --
Trichoderma longibrachiatum	XJ011	HyTlXJ011	35694	PP952404.1	27.55	Y	https://www.ncbi.nlm.nih.gov/nuccore/PP952404.1	Wang X, Wang Z, Yang F, et al. Assembly, Annotation, and Comparative Analysis of Mitochondrial Genomes in Trichoderma. Int J Mol Sci. 2024,25(22):12140.	https://doi.org/10.3390/ijms252212140	 --
Trichoderma longibrachiatum	PR001	HyTlPR001	36172	PP952400.1	27.5	Y	https://www.ncbi.nlm.nih.gov/nuccore/PP952400.1	Wang X, Wang Z, Yang F, et al. Assembly, Annotation, and Comparative Analysis of Mitochondrial Genomes in Trichoderma. Int J Mol Sci. 2024,25(22):12140.	https://doi.org/10.3390/ijms252212140	 --
Trichoderma longibrachiatum	AI337-ZX01-01-R04	HyTlAI337-ZX01-01-R04	36935	PP952388.1	27.17	Y	https://www.ncbi.nlm.nih.gov/nuccore/PP952388.1	Wang X, Wang Z, Yang F, et al. Assembly, Annotation, and Comparative Analysis of Mitochondrial Genomes in Trichoderma. Int J Mol Sci. 2024,25(22):12140.	https://doi.org/10.3390/ijms252212140	 --
Trichoderma pyramidale	YN006	HyTpYN006	33434	PP952406.1	28.03	Y	https://www.ncbi.nlm.nih.gov/nuccore/PP952406.1	Wang X, Wang Z, Yang F, et al. Assembly, Annotation, and Comparative Analysis of Mitochondrial Genomes in Trichoderma. Int J Mol Sci. 2024,25(22):12140.	https://doi.org/10.3390/ijms252212140	 --
Trichoderma reesei	 --	HyTrPP952401	42130	PP952401.1	27.24	Y	https://www.ncbi.nlm.nih.gov/nuccore/PP952401.1	Wang X, Wang Z, Yang F, et al. Assembly, Annotation, and Comparative Analysis of Mitochondrial Genomes in Trichoderma. Int J Mol Sci. 2024,25(22):12140.	https://doi.org/10.3390/ijms252212140	 --
Trichoderma reesei	 --	HyTrNC_003388	42130	NC_003388.1	27.24	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_003388.1	Chambergo FS, Bonaccorsi ED, Ferreira AJ, et al. Elucidation of the metabolic fate of glucose in the filamentous fungus Trichoderma reesei using expressed sequence tag (EST) analysis and cDNA microarrays. J Biol Chem. 2002,277(16):13983-13988.	https://doi.org/10.1074/jbc.M107651200	 --
Trichoderma simmonsii	GH-Sj1	HyTsGH-Sj1	28668	NC_063562.1	27.58	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_063562.1	 --	 --	 --
Trichoderma sp.	ARG-3	HyTsARG-3	30164	BK068327.1	27.8	Y	https://www.ncbi.nlm.nih.gov/nuccore/BK068327.1	Wang X, Wang Z, Yang F, et al. Assembly, Annotation, and Comparative Analysis of Mitochondrial Genomes in Trichoderma. Int J Mol Sci. 2024,25(22):12140.	https://doi.org/10.3390/ijms252212140	 --
Trichoderma sp.	NM158	HyTsNM158	27550	PP952399.1	27.56	Y	https://www.ncbi.nlm.nih.gov/nuccore/PP952399.1	Wang X, Wang Z, Yang F, et al. Assembly, Annotation, and Comparative Analysis of Mitochondrial Genomes in Trichoderma. Int J Mol Sci. 2024,25(22):12140.	https://doi.org/10.3390/ijms252212140	 --
Trichoderma sp.	HN143	HyTsHN143	30234	PP952398.1	27.34	Y	https://www.ncbi.nlm.nih.gov/nuccore/PP952398.1	Wang X, Wang Z, Yang F, et al. Assembly, Annotation, and Comparative Analysis of Mitochondrial Genomes in Trichoderma. Int J Mol Sci. 2024,25(22):12140.	https://doi.org/10.3390/ijms252212140	 --
Trichoderma sp.	FJ059	HyTsFJ059	38693	PP952392.1	26.92	Y	https://www.ncbi.nlm.nih.gov/nuccore/PP952392.1	Wang X, Wang Z, Yang F, et al. Assembly, Annotation, and Comparative Analysis of Mitochondrial Genomes in Trichoderma. Int J Mol Sci. 2024,25(22):12140.	https://doi.org/10.3390/ijms252212140	 --
Trichoderma sp.	FJ014	HyTsFJ014	26276	PP952391.1	27.47	Y	https://www.ncbi.nlm.nih.gov/nuccore/PP952391.1	Wang X, Wang Z, Yang F, et al. Assembly, Annotation, and Comparative Analysis of Mitochondrial Genomes in Trichoderma. Int J Mol Sci. 2024,25(22):12140.	https://doi.org/10.3390/ijms252212140	 --
Trichoderma sp.	AH003	HyTsAH003	27813	PP952385.1	27.44	Y	https://www.ncbi.nlm.nih.gov/nuccore/PP952385.1	Wang X, Wang Z, Yang F, et al. Assembly, Annotation, and Comparative Analysis of Mitochondrial Genomes in Trichoderma. Int J Mol Sci. 2024,25(22):12140.	https://doi.org/10.3390/ijms252212140	 --
Trichoderma sp.	DL1-3	HyTsDL1-3	29197	PV137760.1	27.45	Y	https://www.ncbi.nlm.nih.gov/nuccore/PV137760.1	 --	 --	 --
Trichoderma sp.	PAR10	HyTsPAR10	29122	PV137762.1	27.57	Y	https://www.ncbi.nlm.nih.gov/nuccore/PV137762.1	 --	 --	 --
Trichoderma subviride	YN021	HyTsYN021	45216	PP952382.1	27.78	Y	https://www.ncbi.nlm.nih.gov/nuccore/PP952382.1	Wang X, Wang Z, Yang F, et al. Assembly, Annotation, and Comparative Analysis of Mitochondrial Genomes in Trichoderma. Int J Mol Sci. 2024,25(22):12140.	https://doi.org/10.3390/ijms252212140	 --
Trichoderma velutinum	FJ002	HyTvFJ002	39673	PP952389.1	27.21	Y	https://www.ncbi.nlm.nih.gov/nuccore/PP952389.1	Wang X, Wang Z, Yang F, et al. Assembly, Annotation, and Comparative Analysis of Mitochondrial Genomes in Trichoderma. Int J Mol Sci. 2024,25(22):12140.	https://doi.org/10.3390/ijms252212140	 --
Trichoderma velutinum	ZJ051	HyTvZJ051	39750	PP952380.1	27.22	Y	https://www.ncbi.nlm.nih.gov/nuccore/PP952380.1	Wang X, Wang Z, Yang F, et al. Assembly, Annotation, and Comparative Analysis of Mitochondrial Genomes in Trichoderma. Int J Mol Sci. 2024,25(22):12140.	https://doi.org/10.3390/ijms252212140	 --
Trichoderma virens	FJ004	HyTvFJ004	26580	PP952390.1	27.47	Y	https://www.ncbi.nlm.nih.gov/nuccore/PP952390.1	Wang X, Wang Z, Yang F, et al. Assembly, Annotation, and Comparative Analysis of Mitochondrial Genomes in Trichoderma. Int J Mol Sci. 2024,25(22):12140.	https://doi.org/10.3390/ijms252212140	 --
Trichoderma virens	FT-333	HyTvFT-333	31081	CP071122.1	27.6	Y	https://www.ncbi.nlm.nih.gov/nuccore/CP071122.1	Li WC, Lin TC, Chen CL, et al. Complete Genome Sequences and Genome-Wide Characterization of Trichoderma Biocontrol Agents Provide New Insights into their Evolution and Variation in Genome Organization, Sexual Development, and Fungal-Plant Interactions. Microbiol Spectr. 2021,9(3):e0066321.	https://doi.org/10.1128/Spectrum.00663-21	 --
Trichoderma virens	Gv29-8	HyTvGv29-8	27943	CP071114.1	27.75	Y	https://www.ncbi.nlm.nih.gov/nuccore/CP071114.1	Li WC, Lin TC, Chen CL, et al. Complete Genome Sequences and Genome-Wide Characterization of Trichoderma Biocontrol Agents Provide New Insights into their Evolution and Variation in Genome Organization, Sexual Development, and Fungal-Plant Interactions. Microbiol Spectr. 2021,9(3):e0066321.	https://doi.org/10.1128/Spectrum.00663-21	 --
Trichoderma viride	LTR-2	HyTvLTR-2	29060	BK068323.1	27.51	Y	https://www.ncbi.nlm.nih.gov/nuccore/BK068323.1	Wang X, Wang Z, Yang F, et al. Assembly, Annotation, and Comparative Analysis of Mitochondrial Genomes in Trichoderma. Int J Mol Sci. 2024,25(22):12140.	https://doi.org/10.3390/ijms252212140	 --
Trichoderma zeloharzianum	XJ023	HyTzXJ023	27757	PP952405.1	27.37	Y	https://www.ncbi.nlm.nih.gov/nuccore/PP952405.1	Wang X, Wang Z, Yang F, et al. Assembly, Annotation, and Comparative Analysis of Mitochondrial Genomes in Trichoderma. Int J Mol Sci. 2024,25(22):12140.	https://doi.org/10.3390/ijms252212140	 --
