Species	Strains	Abbreviation	Accession	Genome_size	GC content (%)	Complete 	Download	Reference	Reference_link	Note
Ophiocordyceps lanpingensis	 --	OpOlMW342621	MW342621.1	117560	31.09	Y	https://www.ncbi.nlm.nih.gov/nuccore/MW342621.1	Bibi S, Wang D, Wang Y, et al. Mitogenomic and Phylogenetic Analysis of the Entomopathogenic Fungus Ophiocordyceps lanpingensis and Comparative Analysis with Other Ophiocordyceps Species. Genes (Basel). 2023,14(3):710.	https://doi.org/10.3390/genes14030710	 --
Ophiocordyceps sinensis	 --	OpOsNC_034659	NC_034659.1	157539	30.2	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_034659.1	Kang X, Hu L, Shen P, et al. SMRT Sequencing Revealed Mitogenome Characteristics and Mitogenome-Wide DNA Modification Pattern in Ophiocordyceps sinensis. Front Microbiol. 2017,8:1422.	https://doi.org/10.3389/fmicb.2017.01422	 --
Ophiocordyceps sobolifera	 --	OpOsNC_087820	NC_087820.1	127898	27.38	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_087820.1	 --	 --	 --
Ophiocordyceps sp.	YFCC 8075	OpOsYFCC8075	MW042690.1	80359	29.89	Y	https://www.ncbi.nlm.nih.gov/nuccore/MW042690.1	 --	 --	 --
Ophiocordyceps xuefengensis	HCMA001	OpOxHCMA001	CM037206.1	78744	29.94	Y	https://www.ncbi.nlm.nih.gov/nuccore/CM037206.1	Zhong C, Jin J, Zhou R, et al. Comparative analysis of the complete mitochondrial genomes of four cordyceps fungi. Ecol Evol. 2022,12(4):e8818.	https://doi.org/10.1002/ece3.8818	 --
Ophiocordycipitaceae sp.	 --	OpOsNC_049089	NC_049089.1	66785	30.58	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_049089.1	Park J, Xi H, Park J, et al. The complete mitochondrial genome of fungal endosymbiont, Ophiocordycipitaceae sp., isolated from Ricania speculum (Hemiptera: Ricaniidae). Mitochondrial DNA Part B. 2020,5(2):1888–1889.	https://doi.org/10.1080/23802359.2020.1754141	 --
Ophiocordycipitaceae sp.	 --	OpOsBK059186	BK059186.1	55390	30.66	Y	https://www.ncbi.nlm.nih.gov/nuccore/BK059186.1	Choi NJ, Xi H, Park J. A Comparative Analyses of the Complete Mitochondrial Genomes of Fungal Endosymbionts in Sogatella furcifera, White-Backed Planthoppers. Int J Genomics. 2021,2021:6652508.	https://doi.org/10.1155/2021/6652508	 --
Ophiocordycipitaceae sp.	KR_5D	OpOsKR_5D	MW373710.1	55390	30.66	Y	https://www.ncbi.nlm.nih.gov/nuccore/MW373710.1	Choi NJ, Xi H, Park J. A Comparative Analyses of the Complete Mitochondrial Genomes of Fungal Endosymbionts in Sogatella furcifera, White-Backed Planthoppers. Int J Genomics. 2021,2021:6652508.	https://doi.org/10.1155/2021/6652508	 --
Ophiocordycipitaceae sp.	 --	OpOsMW115131	MW115131.1	55393	30.66	Y	https://www.ncbi.nlm.nih.gov/nuccore/MW115131.1	Choi NJ, Xi H, Park J. A Comparative Analyses of the Complete Mitochondrial Genomes of Fungal Endosymbionts in Sogatella furcifera, White-Backed Planthoppers. Int J Genomics. 2021,2021:6652508.	https://doi.org/10.1155/2021/6652508	 --
Ophiocordycipitaceae sp.	KR_11D	OpOsKR_11D	MW376862.1	55393	30.66	Y	https://www.ncbi.nlm.nih.gov/nuccore/MW376862.1	Choi NJ, Xi H, Park J. A Comparative Analyses of the Complete Mitochondrial Genomes of Fungal Endosymbionts in Sogatella furcifera, White-Backed Planthoppers. Int J Genomics. 2021,2021:6652508.	https://doi.org/10.1155/2021/6652508	 --
Ophiocordycipitaceae sp.	KR_1D	OpOsKR_1D	MW373711.1	55406	30.68	Y	https://www.ncbi.nlm.nih.gov/nuccore/MW373711.1	Choi NJ, Xi H, Park J. A Comparative Analyses of the Complete Mitochondrial Genomes of Fungal Endosymbionts in Sogatella furcifera, White-Backed Planthoppers. Int J Genomics. 2021,2021:6652508.	https://doi.org/10.1155/2021/6652508	 --
Paraisaria gracilioides	 --	OpPgNC_072283	NC_072283.1	181140	28.82	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_072283.1	 --	 --	 --
Paraisaria gracilis	YHH OG201305	OpPgYHHOG201305	NC_063318.1	134288	28.65	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_063318.1	Abuduaini A, Wang YB, Zhou HY, et al. The complete mitochondrial genome of Ophiocordyceps gracilis and its comparison with related species. IMA Fungus. 2021,12(1):31.	https://doi.org/10.1186/s43008-021-00081-z	 --
Paraisaria heteropoda	 --	OpPhNC_081046	NC_081046.1	148623	28.49	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_081046.1	 --	 --	 --
Purpureocillium atypicola	RCEF7274	OpPaRCEF7274	PP812219.1	112465	26.98	Y	https://www.ncbi.nlm.nih.gov/nuccore/PP812219.1	 --	 --	 --
Purpureocillium lavendulum	YMF1.00683	OpPlYMF1.00683	NC_059725.1	23567	28.46	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_059725.1	Liang LM, Zhang Y, Xu J, et al. Characterization of the complete mitochondrial genome of the nematophagous fungus Purpureocillium lavendulum. Mitochondrial DNA B Resour. 2021,6(1):33-35.	https://doi.org/10.1080/23802359.2020.1846000	 --
Purpureocillium lilacinum	WS1608	OpPlWS1608	NC_056378.1	23495	28.47	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_056378.1	Li J, Zhang G, Yu H, et al. Complete mitochondrial genome of the important bio-control fungus Purpureocillium lilacinum (Ophiocordycipitaceae, Hypocreales) and its phylogenetic analysis. Mitochondrial DNA B Resour. 2019,5(1):240-242.	https://doi.org/10.1080/23802359.2019.1699466	 --
Purpureocillium takamizusanense	PT3	OpPtPT3	NC_061540.1	33113	26.51	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_061540.1	 --	 --	 --
Tolypocladium cylindrosporum	ARSEF963	OpTcARSEF963	NC_046839.1	34698	26.97	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_046839.1	Zhang S, Zhang YJ. Complete mitogenome of the entomopathogenic fungus Tolypocladium cylindrosporum. Mitochondrial DNA B Resour. 2020,5(1):680-682.	https://doi.org/10.1080/23802359.2020.1714495	 --
Tolypocladium cylindrosporum	YFCC 1805001	OpTcYFCC1805001	MN944108.1	33465	27.09	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN944108.1	Wang Y, Liu YF, Tang DX, et al. Tolypocladium reniformisporum sp. nov. and Tolypocladium cylindrosporum (Ophiocordycipitaceae, Hypocreales) co-occurring on Ophiocordyceps sinensis. Mycol Progress 21, 199–214 (2022).	https://doi.org/10.1007/s11557-021-01675-y	 --
Tolypocladium guangdongense	GD15	OpTgGD15	NC_054274.1	46102	26.1	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_054274.1	Zhang C, Dai Y, Wang G, et al. Mitogenome of Tolypocladium guangdongense. Appl Microbiol Biotechnol. 2020,104(21):9295-9308.	https://doi.org/10.1007/s00253-020-10889-1	 --
Tolypocladium inflatum	YFCC 881-B	OpTiYFCC881-B	MT219828.1	25328	27.78	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT219828.1	 --	 --	 --
Tolypocladium inflatum	ARSEF 616	OpTiARSEF616	KY924883.1	24973	27.8	Y	https://www.ncbi.nlm.nih.gov/nuccore/KY924883.1	Zhang YJ, Yang XQ, Zhang S, et al. Genomic analyses reveal low mitochondrial and high nuclear diversity in the cyclosporin-producing fungus Tolypocladium inflatum. Appl Microbiol Biotechnol. 2017,101(23-24):8517-8531.	https://doi.org/10.1007/s00253-017-8574-0	 --
Tolypocladium inflatum	ARSEF 9506	OpTiARSEF9506	KY924882.1	25328	27.8	Y	https://www.ncbi.nlm.nih.gov/nuccore/KY924882.1	Zhang YJ, Yang XQ, Zhang S, et al. Genomic analyses reveal low mitochondrial and high nuclear diversity in the cyclosporin-producing fungus Tolypocladium inflatum. Appl Microbiol Biotechnol. 2017,101(23-24):8517-8531.	https://doi.org/10.1007/s00253-017-8574-0	 --
Tolypocladium inflatum	ARSEF 3433	OpTiARSEF3433	KY924881.1	25328	27.79	Y	https://www.ncbi.nlm.nih.gov/nuccore/KY924881.1	Zhang YJ, Yang XQ, Zhang S, et al. Genomic analyses reveal low mitochondrial and high nuclear diversity in the cyclosporin-producing fungus Tolypocladium inflatum. Appl Microbiol Biotechnol. 2017,101(23-24):8517-8531.	https://doi.org/10.1007/s00253-017-8574-0	 --
Tolypocladium inflatum	ARSEF 3277	OpTiARSEF3277	KY924880.1	25328	27.79	Y	https://www.ncbi.nlm.nih.gov/nuccore/KY924880.1	Zhang YJ, Yang XQ, Zhang S, et al. Genomic analyses reveal low mitochondrial and high nuclear diversity in the cyclosporin-producing fungus Tolypocladium inflatum. Appl Microbiol Biotechnol. 2017,101(23-24):8517-8531.	https://doi.org/10.1007/s00253-017-8574-0	 --
Tolypocladium inflatum	ARSEF 3280	OpTiARSEF3280	NC_036382.1	25328	27.79	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_036382.1	Zhang YJ, Yang XQ, Zhang S, et al. Genomic analyses reveal low mitochondrial and high nuclear diversity in the cyclosporin-producing fungus Tolypocladium inflatum. Appl Microbiol Biotechnol. 2017,101(23-24):8517-8531.	https://doi.org/10.1007/s00253-017-8574-0	 --
Tolypocladium ophioglossoides	L2	OpToL2	NC_031384.1	35159	27.53	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_031384.1	 --	 --	 --
Tolypocladium sp.	 --	OpTsMN583265	MN583265.1	46466	26.09	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN583265.1	Liu Y, Tang D, Zhang G, et al. Complete mitochondrial genome of Tolypocladium sp. YFCC 1805002 isolated from Ophiocordyceps sinensis in Baima Snow Mountain, Southwestern China. Mitochondrial DNA B Resour. 2019,5(1):171-173.	https://doi.org/10.1080/23802359.2019.1698338	 --
Tolypocladium sp.	YFCC 3007	OpTsYFCC3007	MT091970.1	24728	28.17	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT091970.1	 --	 --	 --
Tolypocladium sp.	YFCC 3009	OpTsYFCC3009	MT091969.1	24725	28.17	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT091969.1	 --	 --	 --
Tolypocladium sp.	YFCC 5062	OpTsYFCC5062	MT091968.1	31579	27.37	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT091968.1	 --	 --	 --
Tolypocladium sp.	YFCC 5615	OpTspYFCC5615	MT091967.1	24728	28.16	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT091967.1	 --	 --	 --
Tolypocladium sp.	YHH 6663	OpTsYHH6663	MT091966.1	24376	28.22	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT091966.1	 --	 --	 --
Tolypocladium tundrense	CBS 569.84	OpTtCBS569.84	CM044411.1	32643	26.98	Y	https://www.ncbi.nlm.nih.gov/nuccore/CM044411.1	Tehan RM, Blount RR, Goold RL, et al. Tolypocladamide H and the Proposed Tolypocladamide NRPS in Tolypocladium Species. J Nat Prod. 2022,85(5):1363-1373.	https://doi.org/10.1021/acs.jnatprod.2c00153	 --
